Year,Units,Sustainably managed status,Country,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2012,Hectares,,Scotland,Hectares,Units,Undefined,S92000003,1403026.42
2012,Hectares,,Northern Ireland,Hectares,Units,Undefined,N92000002,105218.0
2013,Hectares,,,Hectares,Units,Undefined,,3125309.9480000003
2013,Hectares,,England,Hectares,Units,Undefined,E92000001,1298224.19
2013,Hectares,,Wales,Hectares,Units,Undefined,W92000004,305406.3936
2013,Hectares,,Scotland,Hectares,Units,Undefined,S92000003,1410663.364
2013,Hectares,,Northern Ireland,Hectares,Units,Undefined,N92000002,111016.0
2014,Hectares,,,Hectares,Units,Undefined,,3143462.6560000004
2014,Hectares,,England,Hectares,Units,Undefined,E92000001,1301913.137
2014,Hectares,,Wales,Hectares,Units,Undefined,W92000004,305831.9743
2014,Hectares,,Scotland,Hectares,Units,Undefined,S92000003,1424254.545
2014,Hectares,,Northern Ireland,Hectares,Units,Undefined,N92000002,111463.0
2015,Hectares,,,Hectares,Units,Undefined,,3154583.93
2015,Hectares,,England,Hectares,Units,Undefined,E92000001,1305038.24
2015,Hectares,,Wales,Hectares,Units,Undefined,W92000004,305994.35
2015,Hectares,,Scotland,Hectares,Units,Undefined,S92000003,1431639.34
2015,Hectares,,Northern Ireland,Hectares,Units,Undefined,N92000002,111912.0
2016,Hectares,,,Hectares,Units,Undefined,,3158980.4839999997
2016,Hectares,,England,Hectares,Units,Undefined,E92000001,1305280.812
2016,Hectares,,Wales,Hectares,Units,Undefined,W92000004,306595.0179
2016,Hectares,,Scotland,Hectares,Units,Undefined,S92000003,1435017.655
2016,Hectares,,Northern Ireland,Hectares,Units,Undefined,N92000002,112087.0
2017,Hectares,,,Hectares,Units,Undefined,,3163875.889
2017,Hectares,,England,Hectares,Units,Undefined,E92000001,1306174.249
2017,Hectares,,Wales,Hectares,Units,Undefined,W92000004,307667.4916
2017,Hectares,,Scotland,Hectares,Units,Undefined,S92000003,1437656.149
2017,Hectares,,Northern Ireland,Hectares,Units,Undefined,N92000002,112378.0
2018,Hectares,,,Hectares,Units,Undefined,,3173620.39
2018,Hectares,,England,Hectares,Units,Undefined,E92000001,1306584.81
2018,Hectares,,Wales,Hectares,Units,Undefined,W92000004,308788.07
2018,Hectares,,Scotland,Hectares,Units,Undefined,S92000003,1445630.51
2018,Hectares,,Northern Ireland,Hectares,Units,Undefined,N92000002,112617.0
2019,Hectares,,,Hectares,Units,Undefined,,3187167.381
2019,Hectares,,England,Hectares,Units,Undefined,E92000001,1308007.3190000001
2019,Hectares,,Wales,Hectares,Units,Undefined,W92000004,309312.08
2019,Hectares,,Scotland,Hectares,Units,Undefined,S92000003,1456842.9819999998
2019,Hectares,,Northern Ireland,Hectares,Units,Undefined,N92000002,113005.0
2001,Hectares,Certified,,Hectares,Units,Undefined,,1061061.712
2001,Hectares,Certified,England,Hectares,Units,Undefined,E92000001,289526.7378
2001,Hectares,Certified,Wales,Hectares,Units,Undefined,W92000004,124344.1199
2001,Hectares,Certified,Scotland,Hectares,Units,Undefined,S92000003,584718.8538
2001,Hectares,Certified,Northern Ireland,Hectares,Units,Undefined,N92000002,62472.0
2002,Hectares,Certified,,Hectares,Units,Undefined,,1075355.565
2002,Hectares,Certified,England,Hectares,Units,Undefined,E92000001,296575.9255
2002,Hectares,Certified,Wales,Hectares,Units,Undefined,W92000004,123941.2399
2002,Hectares,Certified,Scotland,Hectares,Units,Undefined,S92000003,592366.3992
2002,Hectares,Certified,Northern Ireland,Hectares,Units,Undefined,N92000002,62472.0
2003,Hectares,Certified,,Hectares,Units,Undefined,,
2003,Hectares,Certified,England,Hectares,Units,Undefined,E92000001,
2003,Hectares,Certified,Wales,Hectares,Units,Undefined,W92000004,
2003,Hectares,Certified,Scotland,Hectares,Units,Undefined,S92000003,
2003,Hectares,Certified,Northern Ireland,Hectares,Units,Undefined,N92000002,
2004,Hectares,Certified,,Hectares,Units,Undefined,,1159944.466
2004,Hectares,Certified,England,Hectares,Units,Undefined,E92000001,298262.5969
2004,Hectares,Certified,Wales,Hectares,Units,Undefined,W92000004,126652.9799
2004,Hectares,Certified,Scotland,Hectares,Units,Undefined,S92000003,669908.889
2004,Hectares,Certified,Northern Ireland,Hectares,Units,Undefined,N92000002,65120.0
2005,Hectares,Certified,,Hectares,Units,Undefined,,1257091.068
2005,Hectares,Certified,England,Hectares,Units,Undefined,E92000001,343700.2329
2005,Hectares,Certified,Wales,Hectares,Units,Undefined,W92000004,131240.5999
2005,Hectares,Certified,Scotland,Hectares,Units,Undefined,S92000003,718699.2354
2005,Hectares,Certified,Northern Ireland,Hectares,Units,Undefined,N92000002,63451.0
2006,Hectares,Certified,,Hectares,Units,Undefined,,1272510.096
2006,Hectares,Certified,England,Hectares,Units,Undefined,E92000001,353577.48600000003
2006,Hectares,Certified,Wales,Hectares,Units,Undefined,W92000004,131131.72
2006,Hectares,Certified,Scotland,Hectares,Units,Undefined,S92000003,724369.8901
2006,Hectares,Certified,Northern Ireland,Hectares,Units,Undefined,N92000002,63431.0
2007,Hectares,Certified,,Hectares,Units,Undefined,,1324920.361
2007,Hectares,Certified,England,Hectares,Units,Undefined,E92000001,363862.4693
2007,Hectares,Certified,Wales,Hectares,Units,Undefined,W92000004,132587.846
2007,Hectares,Certified,Scotland,Hectares,Units,Undefined,S92000003,764313.6214
2007,Hectares,Certified,Northern Ireland,Hectares,Units,Undefined,N92000002,64156.424289999995
2008,Hectares,Certified,,Hectares,Units,Undefined,,1309679.633
2008,Hectares,Certified,England,Hectares,Units,Undefined,E92000001,345266.0778
2008,Hectares,Certified,Wales,Hectares,Units,Undefined,W92000004,129962.5714
2008,Hectares,Certified,Scotland,Hectares,Units,Undefined,S92000003,770012.0894
2008,Hectares,Certified,Northern Ireland,Hectares,Units,Undefined,N92000002,64438.8941
2009,Hectares,Certified,,Hectares,Units,Undefined,,1332049.723
2009,Hectares,Certified,England,Hectares,Units,Undefined,E92000001,352498.0708
2009,Hectares,Certified,Wales,Hectares,Units,Undefined,W92000004,133737.89
2009,Hectares,Certified,Scotland,Hectares,Units,Undefined,S92000003,780754.2623
2009,Hectares,Certified,Northern Ireland,Hectares,Units,Undefined,N92000002,65059.5
2010,Hectares,Certified,,Hectares,Units,Undefined,,1347258.13
2010,Hectares,Certified,England,Hectares,Units,Undefined,E92000001,357169.73
2010,Hectares,Certified,Wales,Hectares,Units,Undefined,W92000004,133473.6
2010,Hectares,Certified,Scotland,Hectares,Units,Undefined,S92000003,792465.3
2010,Hectares,Certified,Northern Ireland,Hectares,Units,Undefined,N92000002,64149.5
2011,Hectares,Certified,,Hectares,Units,Undefined,,1324053.13
2011,Hectares,Certified,England,Hectares,Units,Undefined,E92000001,335218.63
2011,Hectares,Certified,Wales,Hectares,Units,Undefined,W92000004,133604.0
2011,Hectares,Certified,Scotland,Hectares,Units,Undefined,S92000003,791775.0
2011,Hectares,Certified,Northern Ireland,Hectares,Units,Undefined,N92000002,63455.5
2012,Hectares,Certified,,Hectares,Units,Undefined,,1365559.89
2012,Hectares,Certified,England,Hectares,Units,Undefined,E92000001,354973.71
2012,Hectares,Certified,Wales,Hectares,Units,Undefined,W92000004,138294.93
2012,Hectares,Certified,Scotland,Hectares,Units,Undefined,S92000003,807736.75
2012,Hectares,Certified,Northern Ireland,Hectares,Units,Undefined,N92000002,64554.5
2013,Hectares,Certified,,Hectares,Units,Undefined,,1362561.439
2013,Hectares,Certified,England,Hectares,Units,Undefined,E92000001,354739.1724
2013,Hectares,Certified,Wales,Hectares,Units,Undefined,W92000004,139440.9656
2013,Hectares,Certified,Scotland,Hectares,Units,Undefined,S92000003,803698.3813
2013,Hectares,Certified,Northern Ireland,Hectares,Units,Undefined,N92000002,64682.92
2014,Hectares,Certified,,Hectares,Units,Undefined,,1376969.9980000001
2014,Hectares,Certified,England,Hectares,Units,Undefined,E92000001,349241.3157
2014,Hectares,Certified,Wales,Hectares,Units,Undefined,W92000004,141120.851
