Year,Units,Status classification,Water body category,Country,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2018,Proportion of bodies of water with good ambient water quality,,,Scotland,Percentage (%),Units,Undefined,S92000003,62
2018,Proportion of bodies of water with good ambient water quality,High,,Scotland,Percentage (%),Units,Undefined,S92000003,13
2018,Proportion of bodies of water with good ambient water quality,Good,,Scotland,Percentage (%),Units,Undefined,S92000003,49
2018,Proportion of bodies of water with good ambient water quality,,Rivers and canals,Scotland,Percentage (%),Units,Undefined,S92000003,55
2018,Proportion of bodies of water with good ambient water quality,High,Rivers and canals,Scotland,Percentage (%),Units,Undefined,S92000003,7
2018,Proportion of bodies of water with good ambient water quality,Good,Rivers and canals,Scotland,Percentage (%),Units,Undefined,S92000003,48
2018,Proportion of bodies of water with good ambient water quality,,Lakes,Scotland,Percentage (%),Units,Undefined,S92000003,62
2018,Proportion of bodies of water with good ambient water quality,High,Lakes,Scotland,Percentage (%),Units,Undefined,S92000003,31
2018,Proportion of bodies of water with good ambient water quality,Good,Lakes,Scotland,Percentage (%),Units,Undefined,S92000003,31
2018,Proportion of bodies of water with good ambient water quality,,Estuaries and Coastal,Scotland,Percentage (%),Units,Undefined,S92000003,99
2018,Proportion of bodies of water with good ambient water quality,High,Estuaries and Coastal,Scotland,Percentage (%),Units,Undefined,S92000003,31
2018,Proportion of bodies of water with good ambient water quality,Good,Estuaries and Coastal,Scotland,Percentage (%),Units,Undefined,S92000003,68
2018,Proportion of bodies of water with good ambient water quality,,,Wales,Percentage (%),Units,Undefined,W92000004,40
2018,Proportion of bodies of water with good ambient water quality,High,,Wales,Percentage (%),Units,Undefined,W92000004,0
2018,Proportion of bodies of water with good ambient water quality,Good,,Wales,Percentage (%),Units,Undefined,W92000004,40
2018,Proportion of bodies of water with good ambient water quality,,Rivers and canals,Wales,Percentage (%),Units,Undefined,W92000004,44
2018,Proportion of bodies of water with good ambient water quality,High,Rivers and canals,Wales,Percentage (%),Units,Undefined,W92000004,0
2018,Proportion of bodies of water with good ambient water quality,Good,Rivers and canals,Wales,Percentage (%),Units,Undefined,W92000004,44
2018,Proportion of bodies of water with good ambient water quality,,Lakes,Wales,Percentage (%),Units,Undefined,W92000004,20
2018,Proportion of bodies of water with good ambient water quality,High,Lakes,Wales,Percentage (%),Units,Undefined,W92000004,1
2018,Proportion of bodies of water with good ambient water quality,Good,Lakes,Wales,Percentage (%),Units,Undefined,W92000004,19
2018,Proportion of bodies of water with good ambient water quality,,Estuaries and Coastal,Wales,Percentage (%),Units,Undefined,W92000004,24
2018,Proportion of bodies of water with good ambient water quality,High,Estuaries and Coastal,Wales,Percentage (%),Units,Undefined,W92000004,2
2018,Proportion of bodies of water with good ambient water quality,Good,Estuaries and Coastal,Wales,Percentage (%),Units,Undefined,W92000004,22
2018,Proportion of bodies of water with good ambient water quality,,,Northern Ireland,Percentage (%),Units,Undefined,N92000002,31
2018,Proportion of bodies of water with good ambient water quality,High,,Northern Ireland,Percentage (%),Units,Undefined,N92000002,0
