Year,Units,Sustainably managed status,Country,Sustainably managed status,Unit measure,Unit multiplier,Observation status,Unit measure,GeoCode,Value
2011,Progress towards sustainable forest management (Hectares of woodland),,England,,Hectares,Units,Undefined,,E92000001,1292385
2011,Progress towards sustainable forest management (Hectares of woodland),,Wales,,Hectares,Units,Undefined,,W92000004,303566
2011,Progress towards sustainable forest management (Hectares of woodland),,Scotland,,Hectares,Units,Undefined,,S92000003,1383406
2011,Progress towards sustainable forest management (Hectares of woodland),,Northern Ireland,,Hectares,Units,Undefined,,N92000002,87957
2012,Progress towards sustainable forest management (Hectares of woodland),,,,Hectares,Units,Undefined,,,3110492.68
2012,Progress towards sustainable forest management (Hectares of woodland),,England,,Hectares,Units,Undefined,,E92000001,1297684.32
2012,Progress towards sustainable forest management (Hectares of woodland),,Wales,,Hectares,Units,Undefined,,W92000004,304563.94
2012,Progress towards sustainable forest management (Hectares of woodland),,Scotland,,Hectares,Units,Undefined,,S92000003,1403026.42
2012,Progress towards sustainable forest management (Hectares of woodland),,Northern Ireland,,Hectares,Units,Undefined,,N92000002,105218
2013,Progress towards sustainable forest management (Hectares of woodland),,,,Hectares,Units,Undefined,,,3125309.948
2013,Progress towards sustainable forest management (Hectares of woodland),,England,,Hectares,Units,Undefined,,E92000001,1298224.19
2013,Progress towards sustainable forest management (Hectares of woodland),,Wales,,Hectares,Units,Undefined,,W92000004,305406.3936
2013,Progress towards sustainable forest management (Hectares of woodland),,Scotland,,Hectares,Units,Undefined,,S92000003,1410663.364
2013,Progress towards sustainable forest management (Hectares of woodland),,Northern Ireland,,Hectares,Units,Undefined,,N92000002,111016
2014,Progress towards sustainable forest management (Hectares of woodland),,,,Hectares,Units,Undefined,,,3143462.656
2014,Progress towards sustainable forest management (Hectares of woodland),,England,,Hectares,Units,Undefined,,E92000001,1301913.137
2014,Progress towards sustainable forest management (Hectares of woodland),,Wales,,Hectares,Units,Undefined,,W92000004,305831.9743
2014,Progress towards sustainable forest management (Hectares of woodland),,Scotland,,Hectares,Units,Undefined,,S92000003,1424254.545
2014,Progress towards sustainable forest management (Hectares of woodland),,Northern Ireland,,Hectares,Units,Undefined,,N92000002,111463
2015,Progress towards sustainable forest management (Hectares of woodland),,,,Hectares,Units,Undefined,,,3154583.93
2015,Progress towards sustainable forest management (Hectares of woodland),,England,,Hectares,Units,Undefined,,E92000001,1305038.24
2015,Progress towards sustainable forest management (Hectares of woodland),,Wales,,Hectares,Units,Undefined,,W92000004,305994.35
2015,Progress towards sustainable forest management (Hectares of woodland),,Scotland,,Hectares,Units,Undefined,,S92000003,1431639.34
2015,Progress towards sustainable forest management (Hectares of woodland),,Northern Ireland,,Hectares,Units,Undefined,,N92000002,111912
2016,Progress towards sustainable forest management (Hectares of woodland),,,,Hectares,Units,Undefined,,,3158980.484
2016,Progress towards sustainable forest management (Hectares of woodland),,England,,Hectares,Units,Undefined,,E92000001,1305280.812
2016,Progress towards sustainable forest management (Hectares of woodland),,Wales,,Hectares,Units,Undefined,,W92000004,306595.0179
2016,Progress towards sustainable forest management (Hectares of woodland),,Scotland,,Hectares,Units,Undefined,,S92000003,1435017.655
2016,Progress towards sustainable forest management (Hectares of woodland),,Northern Ireland,,Hectares,Units,Undefined,,N92000002,112087
2017,Progress towards sustainable forest management (Hectares of woodland),,,,Hectares,Units,Undefined,,,3163875.889
2017,Progress towards sustainable forest management (Hectares of woodland),,England,,Hectares,Units,Undefined,,E92000001,1306174.249
2017,Progress towards sustainable forest management (Hectares of woodland),,Wales,,Hectares,Units,Undefined,,W92000004,307667.4916
2017,Progress towards sustainable forest management (Hectares of woodland),,Scotland,,Hectares,Units,Undefined,,S92000003,1437656.149
2017,Progress towards sustainable forest management (Hectares of woodland),,Northern Ireland,,Hectares,Units,Undefined,,N92000002,112378
2018,Progress towards sustainable forest management (Hectares of woodland),,,,Hectares,Units,Undefined,,,3173620.39
2018,Progress towards sustainable forest management (Hectares of woodland),,England,,Hectares,Units,Undefined,,E92000001,1306584.81
2018,Progress towards sustainable forest management (Hectares of woodland),,Wales,,Hectares,Units,Undefined,,W92000004,308788.07
2018,Progress towards sustainable forest management (Hectares of woodland),,Scotland,,Hectares,Units,Undefined,,S92000003,1445630.51
2018,Progress towards sustainable forest management (Hectares of woodland),,Northern Ireland,,Hectares,Units,Undefined,,N92000002,112617
2019,Progress towards sustainable forest management (Hectares of woodland),,,,Hectares,Units,Undefined,,,3187167.381
2019,Progress towards sustainable forest management (Hectares of woodland),,England,,Hectares,Units,Undefined,,E92000001,1308007.319
2019,Progress towards sustainable forest management (Hectares of woodland),,Wales,,Hectares,Units,Undefined,,W92000004,309312.08
2019,Progress towards sustainable forest management (Hectares of woodland),,Scotland,,Hectares,Units,Undefined,,S92000003,1456842.982
2019,Progress towards sustainable forest management (Hectares of woodland),,Northern Ireland,,Hectares,Units,Undefined,,N92000002,113005
2001,Progress towards sustainable forest management (Hectares of woodland),Certified,,,Hectares,Units,Undefined,,,1061061.712
2001,Progress towards sustainable forest management (Hectares of woodland),Certified,England,,Hectares,Units,Undefined,,E92000001,289526.7378
2001,Progress towards sustainable forest management (Hectares of woodland),Certified,Wales,,Hectares,Units,Undefined,,W92000004,124344.1199
2001,Progress towards sustainable forest management (Hectares of woodland),Certified,Scotland,,Hectares,Units,Undefined,,S92000003,584718.8538
2001,Progress towards sustainable forest management (Hectares of woodland),Certified,Northern Ireland,,Hectares,Units,Undefined,,N92000002,62472
2002,Progress towards sustainable forest management (Hectares of woodland),Certified,,,Hectares,Units,Undefined,,,1075355.565
2002,Progress towards sustainable forest management (Hectares of woodland),Certified,England,,Hectares,Units,Undefined,,E92000001,296575.9255
2002,Progress towards sustainable forest management (Hectares of woodland),Certified,Wales,,Hectares,Units,Undefined,,W92000004,123941.2399
2002,Progress towards sustainable forest management (Hectares of woodland),Certified,Scotland,,Hectares,Units,Undefined,,S92000003,592366.3992
2002,Progress towards sustainable forest management (Hectares of woodland),Certified,Northern Ireland,,Hectares,Units,Undefined,,N92000002,62472
2003,Progress towards sustainable forest management (Hectares of woodland),Certified,,,Hectares,Units,Undefined,,,
2003,Progress towards sustainable forest management (Hectares of woodland),Certified,England,,Hectares,Units,Undefined,,E92000001,
2003,Progress towards sustainable forest management (Hectares of woodland),Certified,Wales,,Hectares,Units,Undefined,,W92000004,
2003,Progress towards sustainable forest management (Hectares of woodland),Certified,Scotland,,Hectares,Units,Undefined,,S92000003,
2003,Progress towards sustainable forest management (Hectares of woodland),Certified,Northern Ireland,,Hectares,Units,Undefined,,N92000002,
2004,Progress towards sustainable forest management (Hectares of woodland),Certified,,,Hectares,Units,Undefined,,,1159944.466
2004,Progress towards sustainable forest management (Hectares of woodland),Certified,England,,Hectares,Units,Undefined,,E92000001,298262.5969
2004,Progress towards sustainable forest management (Hectares of woodland),Certified,Wales,,Hectares,Units,Undefined,,W92000004,126652.9799
2004,Progress towards sustainable forest management (Hectares of woodland),Certified,Scotland,,Hectares,Units,Undefined,,S92000003,669908.889
2004,Progress towards sustainable forest management (Hectares of woodland),Certified,Northern Ireland,,Hectares,Units,Undefined,,N92000002,65120
2005,Progress towards sustainable forest management (Hectares of woodland),Certified,,,Hectares,Units,Undefined,,,1257091.068
2005,Progress towards sustainable forest management (Hectares of woodland),Certified,England,,Hectares,Units,Undefined,,E92000001,343700.2329
2005,Progress towards sustainable forest management (Hectares of woodland),Certified,Wales,,Hectares,Units,Undefined,,W92000004,131240.5999
2005,Progress towards sustainable forest management (Hectares of woodland),Certified,Scotland,,Hectares,Units,Undefined,,S92000003,718699.2354
2005,Progress towards sustainable forest management (Hectares of woodland),Certified,Northern Ireland,,Hectares,Units,Undefined,,N92000002,63451
2006,Progress towards sustainable forest management (Hectares of woodland),Certified,,,Hectares,Units,Undefined,,,1272510.096
2006,Progress towards sustainable forest management (Hectares of woodland),Certified,England,,Hectares,Units,Undefined,,E92000001,353577.486
2006,Progress towards sustainable forest management (Hectares of woodland),Certified,Wales,,Hectares,Units,Undefined,,W92000004,131131.72
2006,Progress towards sustainable forest management (Hectares of woodland),Certified,Scotland,,Hectares,Units,Undefined,,S92000003,724369.8901
2006,Progress towards sustainable forest management (Hectares of woodland),Certified,Northern Ireland,,Hectares,Units,Undefined,,N92000002,63431
2007,Progress towards sustainable forest management (Hectares of woodland),Certified,,,Hectares,Units,Undefined,,,1324920.361
2007,Progress towards sustainable forest management (Hectares of woodland),Certified,England,,Hectares,Units,Undefined,,E92000001,363862.4693
2007,Progress towards sustainable forest management (Hectares of woodland),Certified,Wales,,Hectares,Units,Undefined,,W92000004,132587.846
2007,Progress towards sustainable forest management (Hectares of woodland),Certified,Scotland,,Hectares,Units,Undefined,,S92000003,764313.6214
2007,Progress towards sustainable forest management (Hectares of woodland),Certified,Northern Ireland,,Hectares,Units,Undefined,,N92000002,64156.42429
2008,Progress towards sustainable forest management (Hectares of woodland),Certified,,,Hectares,Units,Undefined,,,1309679.633
2008,Progress towards sustainable forest management (Hectares of woodland),Certified,England,,Hectares,Units,Undefined,,E92000001,345266.0778
2008,Progress towards sustainable forest management (Hectares of woodland),Certified,Wales,,Hectares,Units,Undefined,,W92000004,129962.5714
2008,Progress towards sustainable forest management (Hectares of woodland),Certified,Scotland,,Hectares,Units,Undefined,,S92000003,770012.0894
2008,Progress towards sustainable forest management (Hectares of woodland),Certified,Northern Ireland,,Hectares,Units,Undefined,,N92000002,64438.8941
2009,Progress towards sustainable forest management (Hectares of woodland),Certified,,,Hectares,Units,Undefined,,,1332049.723
2009,Progress towards sustainable forest management (Hectares of woodland),Certified,England,,Hectares,Units,Undefined,,E92000001,352498.0708
2009,Progress towards sustainable forest management (Hectares of woodland),Certified,Wales,,Hectares,Units,Undefined,,W92000004,133737.89
2009,Progress towards sustainable forest management (Hectares of woodland),Certified,Scotland,,Hectares,Units,Undefined,,S92000003,780754.2623
2009,Progress towards sustainable forest management (Hectares of woodland),Certified,Northern Ireland,,Hectares,Units,Undefined,,N92000002,65059.5
2010,Progress towards sustainable forest management (Hectares of woodland),Certified,,,Hectares,Units,Undefined,,,1347258.13
2010,Progress towards sustainable forest management (Hectares of woodland),Certified,England,,Hectares,Units,Undefined,,E92000001,357169.73
2010,Progress towards sustainable forest management (Hectares of woodland),Certified,Wales,,Hectares,Units,Undefined,,W92000004,133473.6
2010,Progress towards sustainable forest management (Hectares of woodland),Certified,Scotland,,Hectares,Units,Undefined,,S92000003,792465.3
2010,Progress towards sustainable forest management (Hectares of woodland),Certified,Northern Ireland,,Hectares,Units,Undefined,,N92000002,64149.5
2011,Progress towards sustainable forest management (Hectares of woodland),Certified,,,Hectares,Units,Undefined,,,1324053.13
2011,Progress towards sustainable forest management (Hectares of woodland),Certified,England,,Hectares,Units,Undefined,,E92000001,335218.63
2011,Progress towards sustainable forest management (Hectares of woodland),Certified,Wales,,Hectares,Units,Undefined,,W92000004,133604
2011,Progress towards sustainable forest management (Hectares of woodland),Certified,Scotland,,Hectares,Units,Undefined,,S92000003,791775
2011,Progress towards sustainable forest management (Hectares of woodland),Certified,Northern Ireland,,Hectares,Units,Undefined,,N92000002,63455.5
2012,Progress towards sustainable forest management (Hectares of woodland),Certified,,,Hectares,Units,Undefined,,,1365559.89
2012,Progress towards sustainable forest management (Hectares of woodland),Certified,England,,Hectares,Units,Undefined,,E92000001,354973.71
2012,Progress towards sustainable forest management (Hectares of woodland),Certified,Wales,,Hectares,Units,Undefined,,W92000004,138294.93
2012,Progress towards sustainable forest management (Hectares of woodland),Certified,Scotland,,Hectares,Units,Undefined,,S92000003,807736.75
2012,Progress towards sustainable forest management (Hectares of woodland),Certified,Northern Ireland,,Hectares,Units,Undefined,,N92000002,64554.5
2013,Progress towards sustainable forest management (Hectares of woodland),Certified,,,Hectares,Units,Undefined,,,1362561.439
2013,Progress towards sustainable forest management (Hectares of woodland),Certified,England,,Hectares,Units,Undefined,,E92000001,354739.1724
2013,Progress towards sustainable forest management (Hectares of woodland),Certified,Wales,,Hectares,Units,Undefined,,W92000004,139440.9656
2013,Progress towards sustainable forest management (Hectares of woodland),Certified,Scotland,,Hectares,Units,Undefined,,S92000003,803698.3813
2013,Progress towards sustainable forest management (Hectares of woodland),Certified,Northern Ireland,,Hectares,Units,Undefined,,N92000002,64682.92
2014,Progress towards sustainable forest management (Hectares of woodland),Certified,,,Hectares,Units,Undefined,,,1376969.998
2014,Progress towards sustainable forest management (Hectares of woodland),Certified,England,,Hectares,Units,Undefined,,E92000001,349241.3157
2014,Progress towards sustainable forest management (Hectares of woodland),Certified,Wales,,Hectares,Units,Undefined,,W92000004,141120.851
2014,Progress towards sustainable forest management (Hectares of woodland),Certified,Scotland,,Hectares,Units,Undefined,,S92000003,821768.8309
2014,Progress towards sustainable forest management (Hectares of woodland),Certified,Northern Ireland,,Hectares,Units,Undefined,,N92000002,64839
2015,Progress towards sustainable forest management (Hectares of woodland),Certified,,,Hectares,Units,Undefined,,,1375485.298
2015,Progress towards sustainable forest management (Hectares of woodland),Certified,England,,Hectares,Units,Undefined,,E92000001,355674.8382
2015,Progress towards sustainable forest management (Hectares of woodland),Certified,Wales,,Hectares,Units,Undefined,,W92000004,141361.83
2015,Progress towards sustainable forest management (Hectares of woodland),Certified,Scotland,,Hectares,Units,Undefined,,S92000003,813327.63
2015,Progress towards sustainable forest management (Hectares of woodland),Certified,Northern Ireland,,Hectares,Units,Undefined,,N92000002,65121
2016,Progress towards sustainable forest management (Hectares of woodland),Certified,,,Hectares,Units,Undefined,,,1350013.473
2016,Progress towards sustainable forest management (Hectares of woodland),Certified,England,,Hectares,Units,Undefined,,E92000001,337187.7943
2016,Progress towards sustainable forest management (Hectares of woodland),Certified,Wales,,Hectares,Units,Undefined,,W92000004,141220.5788
2016,Progress towards sustainable forest management (Hectares of woodland),Certified,Scotland,,Hectares,Units,Undefined,,S92000003,806343.7594
2016,Progress towards sustainable forest management (Hectares of woodland),Certified,Northern Ireland,,Hectares,Units,Undefined,,N92000002,65261.34
2017,Progress towards sustainable forest management (Hectares of woodland),Certified,,,Hectares,Units,Undefined,,,1388032.838
2017,Progress towards sustainable forest management (Hectares of woodland),Certified,England,,Hectares,Units,Undefined,,E92000001,336879.1557
2017,Progress towards sustainable forest management (Hectares of woodland),Certified,Wales,,Hectares,Units,Undefined,,W92000004,145103.4381
2017,Progress towards sustainable forest management (Hectares of woodland),Certified,Scotland,,Hectares,Units,Undefined,,S92000003,840705.3847
