Year,Units,Sustainably managed status,Country,Sustainably managed status,Unit measure,Unit multiplier,Observation status,Unit measure,GeoCode,Value
2011,Progress towards sustainable forest management (Proportion certified),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,72.1437748
2012,Progress towards sustainable forest management (Proportion certified),Certified,,,Percentage (%),Units,Undefined,,,43.90172331
2012,Progress towards sustainable forest management (Proportion certified),Certified,England,,Percentage (%),Units,Undefined,,E92000001,27.35439618
2012,Progress towards sustainable forest management (Proportion certified),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,45.40751935
2012,Progress towards sustainable forest management (Proportion certified),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,57.5710292
2012,Progress towards sustainable forest management (Proportion certified),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,61.35309548
2013,Progress towards sustainable forest management (Proportion certified),Certified,,,Percentage (%),Units,Undefined,,,43.5976419
2013,Progress towards sustainable forest management (Proportion certified),Certified,England,,Percentage (%),Units,Undefined,,E92000001,27.32495474
2013,Progress towards sustainable forest management (Proportion certified),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,45.65751357
2013,Progress towards sustainable forest management (Proportion certified),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,56.97308102
2013,Progress towards sustainable forest management (Proportion certified),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,58.26450241
2014,Progress towards sustainable forest management (Proportion certified),Certified,,,Percentage (%),Units,Undefined,,,43.80424227
2014,Progress towards sustainable forest management (Proportion certified),Certified,England,,Percentage (%),Units,Undefined,,E92000001,26.8252394
2014,Progress towards sustainable forest management (Proportion certified),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,46.1432626
2014,Progress towards sustainable forest management (Proportion certified),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,57.69817157
2014,Progress towards sustainable forest management (Proportion certified),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,58.17087285
2015,Progress towards sustainable forest management (Proportion certified),Certified,,,Percentage (%),Units,Undefined,,,43.60274853
2015,Progress towards sustainable forest management (Proportion certified),Certified,England,,Percentage (%),Units,Undefined,,E92000001,27.25397826
2015,Progress towards sustainable forest management (Proportion certified),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,46.19752946
2015,Progress towards sustainable forest management (Proportion certified),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,56.81093047
2015,Progress towards sustainable forest management (Proportion certified),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,58.1894703
2016,Progress towards sustainable forest management (Proportion certified),Certified,,,Percentage (%),Units,Undefined,,,42.73573323
2016,Progress towards sustainable forest management (Proportion certified),Certified,England,,Percentage (%),Units,Undefined,,E92000001,25.83258647
2016,Progress towards sustainable forest management (Proportion certified),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,46.06095029
2016,Progress towards sustainable forest management (Proportion certified),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,56.19051144
2016,Progress towards sustainable forest management (Proportion certified),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,58.22382614
2017,Progress towards sustainable forest management (Proportion certified),Certified,,,Percentage (%),Units,Undefined,,,43.87385313
2017,Progress towards sustainable forest management (Proportion certified),Certified,England,,Percentage (%),Units,Undefined,,E92000001,25.79370324
2017,Progress towards sustainable forest management (Proportion certified),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,47.16379354
2017,Progress towards sustainable forest management (Proportion certified),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,58.47883313
2017,Progress towards sustainable forest management (Proportion certified),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,58.1473776
2018,Progress towards sustainable forest management (Proportion certified),Certified,,,Percentage (%),Units,Undefined,,,43.35698053
2018,Progress towards sustainable forest management (Proportion certified),Certified,England,,Percentage (%),Units,Undefined,,E92000001,25.40391844
2018,Progress towards sustainable forest management (Proportion certified),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,47.01541348
2018,Progress towards sustainable forest management (Proportion certified),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,57.68099332
2018,Progress towards sustainable forest management (Proportion certified),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,58.02387729
2019,Progress towards sustainable forest management (Proportion certified),Certified,,,Percentage (%),Units,Undefined,,,43.93733613
2019,Progress towards sustainable forest management (Proportion certified),Certified,England,,Percentage (%),Units,Undefined,,E92000001,24.84126346
2019,Progress towards sustainable forest management (Proportion certified),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,47.30799656
2019,Progress towards sustainable forest management (Proportion certified),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,59.27812081
2019,Progress towards sustainable forest management (Proportion certified),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,57.97301889
2005,Progress towards sustainable forest management (Woodland growth rate),Certified,,,Percentage (%),Units,Undefined,,,8.375108052
2005,Progress towards sustainable forest management (Woodland growth rate),,,,Percentage (%),Units,Undefined,,,0.342205052
2006,Progress towards sustainable forest management (Woodland growth rate),Certified,,,Percentage (%),Units,Undefined,,,1.226564111
2006,Progress towards sustainable forest management (Woodland growth rate),,,,Percentage (%),Units,Undefined,,,0.276528216
2007,Progress towards sustainable forest management (Woodland growth rate),Certified,,,Percentage (%),Units,Undefined,,,4.118652198
2007,Progress towards sustainable forest management (Woodland growth rate),,,,Percentage (%),Units,Undefined,,,0.366399534
2008,Progress towards sustainable forest management (Woodland growth rate),Certified,,,Percentage (%),Units,Undefined,,,-1.15031279
2008,Progress towards sustainable forest management (Woodland growth rate),,,,Percentage (%),Units,Undefined,,,0.235884875
2009,Progress towards sustainable forest management (Woodland growth rate),Certified,,,Percentage (%),Units,Undefined,,,1.708058208
2009,Progress towards sustainable forest management (Woodland growth rate),,,,Percentage (%),Units,Undefined,,,0.202531754
2010,Progress towards sustainable forest management (Woodland growth rate),Certified,,,Percentage (%),Units,Undefined,,,1.141729664
2010,Progress towards sustainable forest management (Woodland growth rate),,,,Percentage (%),Units,Undefined,,,0.166756495
2011,Progress towards sustainable forest management (Woodland growth rate),Certified,,,Percentage (%),Units,Undefined,,,-1.722387083
2011,Progress towards sustainable forest management (Woodland growth rate),,,,Percentage (%),Units,Undefined,,,0.26397813
2012,Progress towards sustainable forest management (Woodland growth rate),Certified,,,Percentage (%),Units,Undefined,,,3.134825866
2012,Progress towards sustainable forest management (Woodland growth rate),,,,Percentage (%),Units,Undefined,,,1.407703287
2013,Progress towards sustainable forest management (Woodland growth rate),Certified,,,Percentage (%),Units,Undefined,,,-0.219576654
2013,Progress towards sustainable forest management (Woodland growth rate),,,,Percentage (%),Units,Undefined,,,0.476364014
2014,Progress towards sustainable forest management (Woodland growth rate),Certified,,,Percentage (%),Units,Undefined,,,1.057461186
2014,Progress towards sustainable forest management (Woodland growth rate),,,,Percentage (%),Units,Undefined,,,0.58082906
2015,Progress towards sustainable forest management (Woodland growth rate),Certified,,,Percentage (%),Units,Undefined,,,-0.107823658
2015,Progress towards sustainable forest management (Woodland growth rate),,,,Percentage (%),Units,Undefined,,,0.353790551
2016,Progress towards sustainable forest management (Woodland growth rate),Certified,,,Percentage (%),Units,Undefined,,,-1.85184282
2016,Progress towards sustainable forest management (Woodland growth rate),,,,Percentage (%),Units,Undefined,,,0.139370338
2017,Progress towards sustainable forest management (Woodland growth rate),Certified,,,Percentage (%),Units,Undefined,,,2.816221227
2017,Progress towards sustainable forest management (Woodland growth rate),,,,Percentage (%),Units,Undefined,,,0.154967864
2018,Progress towards sustainable forest management (Woodland growth rate),Certified,,,Percentage (%),Units,Undefined,,,-0.898610043
2018,Progress towards sustainable forest management (Woodland growth rate),,,,Percentage (%),Units,Undefined,,,0.307992521
2019,Progress towards sustainable forest management (Woodland growth rate),Certified,,,Percentage (%),Units,Undefined,,,1.80265581
2019,Progress towards sustainable forest management (Woodland growth rate),,,,Percentage (%),Units,Undefined,,,0.426862377
2005,Progress towards sustainable forest management (Woodland growth rate),Certified,England,,Percentage (%),Units,Undefined,,E92000001,15.23410459
2005,Progress towards sustainable forest management (Woodland growth rate),,England,,Percentage (%),Units,Undefined,,E92000001,0.389209374
2006,Progress towards sustainable forest management (Woodland growth rate),Certified,England,,Percentage (%),Units,Undefined,,E92000001,2.87379879
2006,Progress towards sustainable forest management (Woodland growth rate),,England,,Percentage (%),Units,Undefined,,E92000001,0.26521798
2007,Progress towards sustainable forest management (Woodland growth rate),Certified,England,,Percentage (%),Units,Undefined,,E92000001,2.908834345
2007,Progress towards sustainable forest management (Woodland growth rate),,England,,Percentage (%),Units,Undefined,,E92000001,0.229596214
2008,Progress towards sustainable forest management (Woodland growth rate),Certified,England,,Percentage (%),Units,Undefined,,E92000001,-5.110829804
2008,Progress towards sustainable forest management (Woodland growth rate),,England,,Percentage (%),Units,Undefined,,E92000001,0.186594452
2009,Progress towards sustainable forest management (Woodland growth rate),Certified,England,,Percentage (%),Units,Undefined,,E92000001,2.094614417
2009,Progress towards sustainable forest management (Woodland growth rate),,England,,Percentage (%),Units,Undefined,,E92000001,0.180765749
2010,Progress towards sustainable forest management (Woodland growth rate),Certified,England,,Percentage (%),Units,Undefined,,E92000001,1.325300629
2010,Progress towards sustainable forest management (Woodland growth rate),,England,,Percentage (%),Units,Undefined,,E92000001,0.164243121
2011,Progress towards sustainable forest management (Woodland growth rate),Certified,England,,Percentage (%),Units,Undefined,,E92000001,-6.145845562
2011,Progress towards sustainable forest management (Woodland growth rate),,England,,Percentage (%),Units,Undefined,,E92000001,0.196301439
2012,Progress towards sustainable forest management (Woodland growth rate),Certified,England,,Percentage (%),Units,Undefined,,E92000001,5.89319275
2012,Progress towards sustainable forest management (Woodland growth rate),,England,,Percentage (%),Units,Undefined,,E92000001,0.410041899
2013,Progress towards sustainable forest management (Woodland growth rate),Certified,England,,Percentage (%),Units,Undefined,,E92000001,-0.066071829
2013,Progress towards sustainable forest management (Woodland growth rate),,England,,Percentage (%),Units,Undefined,,E92000001,0.041602583
2014,Progress towards sustainable forest management (Woodland growth rate),Certified,England,,Percentage (%),Units,Undefined,,E92000001,-1.549830712
2014,Progress towards sustainable forest management (Woodland growth rate),,England,,Percentage (%),Units,Undefined,,E92000001,0.284153295
2015,Progress towards sustainable forest management (Woodland growth rate),Certified,England,,Percentage (%),Units,Undefined,,E92000001,1.842142441
2015,Progress towards sustainable forest management (Woodland growth rate),,England,,Percentage (%),Units,Undefined,,E92000001,0.240039288
2016,Progress towards sustainable forest management (Woodland growth rate),Certified,England,,Percentage (%),Units,Undefined,,E92000001,-5.197737352
2016,Progress towards sustainable forest management (Woodland growth rate),,England,,Percentage (%),Units,Undefined,,E92000001,0.018587318
2017,Progress towards sustainable forest management (Woodland growth rate),Certified,England,,Percentage (%),Units,Undefined,,E92000001,-0.091533165
2017,Progress towards sustainable forest management (Woodland growth rate),,England,,Percentage (%),Units,Undefined,,E92000001,0.068447867
2018,Progress towards sustainable forest management (Woodland growth rate),Certified,England,,Percentage (%),Units,Undefined,,E92000001,-1.392043408
2018,Progress towards sustainable forest management (Woodland growth rate),,England,,Percentage (%),Units,Undefined,,E92000001,0.031432367
2019,Progress towards sustainable forest management (Woodland growth rate),Certified,England,,Percentage (%),Units,Undefined,,E92000001,-2.186734978
2019,Progress towards sustainable forest management (Woodland growth rate),,England,,Percentage (%),Units,Undefined,,E92000001,0.108872339
2005,Progress towards sustainable forest management (Woodland growth rate),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,3.622196661
2005,Progress towards sustainable forest management (Woodland growth rate),,Wales,,Percentage (%),Units,Undefined,,W92000004,0.171352622
2006,Progress towards sustainable forest management (Woodland growth rate),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,-0.082962124
2006,Progress towards sustainable forest management (Woodland growth rate),,Wales,,Percentage (%),Units,Undefined,,W92000004,0.156448561
2007,Progress towards sustainable forest management (Woodland growth rate),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,1.110430081
2007,Progress towards sustainable forest management (Woodland growth rate),,Wales,,Percentage (%),Units,Undefined,,W92000004,0.16356385
2008,Progress towards sustainable forest management (Woodland growth rate),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,-1.980026572
2008,Progress towards sustainable forest management (Woodland growth rate),,Wales,,Percentage (%),Units,Undefined,,W92000004,0.052994665
2009,Progress towards sustainable forest management (Woodland growth rate),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,2.904927555
2009,Progress towards sustainable forest management (Woodland growth rate),,Wales,,Percentage (%),Units,Undefined,,W92000004,0.051753304
2010,Progress towards sustainable forest management (Woodland growth rate),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,-0.197617885
2010,Progress towards sustainable forest management (Woodland growth rate),,Wales,,Percentage (%),Units,Undefined,,W92000004,0.059825499
2011,Progress towards sustainable forest management (Woodland growth rate),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,0.097697223
2011,Progress towards sustainable forest management (Woodland growth rate),,Wales,,Percentage (%),Units,Undefined,,W92000004,0.097840441
2012,Progress towards sustainable forest management (Woodland growth rate),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,3.511070028
2012,Progress towards sustainable forest management (Woodland growth rate),,Wales,,Percentage (%),Units,Undefined,,W92000004,0.328739055
2013,Progress towards sustainable forest management (Woodland growth rate),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,0.828689526
2013,Progress towards sustainable forest management (Woodland growth rate),,Wales,,Percentage (%),Units,Undefined,,W92000004,0.276609759
2014,Progress towards sustainable forest management (Woodland growth rate),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,1.204728748
2014,Progress towards sustainable forest management (Woodland growth rate),,Wales,,Percentage (%),Units,Undefined,,W92000004,0.139348981
2015,Progress towards sustainable forest management (Woodland growth rate),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,0.170760734
2015,Progress towards sustainable forest management (Woodland growth rate),,Wales,,Percentage (%),Units,Undefined,,W92000004,0.053093115
2016,Progress towards sustainable forest management (Woodland growth rate),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,-0.099921753
2016,Progress towards sustainable forest management (Woodland growth rate),,Wales,,Percentage (%),Units,Undefined,,W92000004,0.196300328
2017,Progress towards sustainable forest management (Woodland growth rate),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,2.749499669
2017,Progress towards sustainable forest management (Woodland growth rate),,Wales,,Percentage (%),Units,Undefined,,W92000004,0.349801416
2018,Progress towards sustainable forest management (Woodland growth rate),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,-0.234846925
2018,Progress towards sustainable forest management (Woodland growth rate),,Wales,,Percentage (%),Units,Undefined,,W92000004,0.364217346
2019,Progress towards sustainable forest management (Woodland growth rate),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,1.082241036
2019,Progress towards sustainable forest management (Woodland growth rate),,Wales,,Percentage (%),Units,Undefined,,W92000004,0.169698914
2005,Progress towards sustainable forest management (Woodland growth rate),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,7.283131659
2005,Progress towards sustainable forest management (Woodland growth rate),,Scotland,,Percentage (%),Units,Undefined,,S92000003,0.412504547
2006,Progress towards sustainable forest management (Woodland growth rate),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,0.789016387
2006,Progress towards sustainable forest management (Woodland growth rate),,Scotland,,Percentage (%),Units,Undefined,,S92000003,0.288460709
2007,Progress towards sustainable forest management (Woodland growth rate),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,5.514272734
2007,Progress towards sustainable forest management (Woodland growth rate),,Scotland,,Percentage (%),Units,Undefined,,S92000003,0.474947783
2008,Progress towards sustainable forest management (Woodland growth rate),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,0.74556671
2008,Progress towards sustainable forest management (Woodland growth rate),,Scotland,,Percentage (%),Units,Undefined,,S92000003,0.299911106
2009,Progress towards sustainable forest management (Woodland growth rate),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,1.395065496
2009,Progress towards sustainable forest management (Woodland growth rate),,Scotland,,Percentage (%),Units,Undefined,,S92000003,0.245632543
2010,Progress towards sustainable forest management (Woodland growth rate),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,1.499964616
2010,Progress towards sustainable forest management (Woodland growth rate),,Scotland,,Percentage (%),Units,Undefined,,S92000003,0.193483481
2011,Progress towards sustainable forest management (Woodland growth rate),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,-0.087107915
2011,Progress towards sustainable forest management (Woodland growth rate),,Scotland,,Percentage (%),Units,Undefined,,S92000003,0.370165072
2012,Progress towards sustainable forest management (Woodland growth rate),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,2.015945186
2012,Progress towards sustainable forest management (Woodland growth rate),,Scotland,,Percentage (%),Units,Undefined,,S92000003,1.418269113
2013,Progress towards sustainable forest management (Woodland growth rate),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,-0.499960995
2013,Progress towards sustainable forest management (Woodland growth rate),,Scotland,,Percentage (%),Units,Undefined,,S92000003,0.544319329
2014,Progress towards sustainable forest management (Woodland growth rate),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,2.248411845
2014,Progress towards sustainable forest management (Woodland growth rate),,Scotland,,Percentage (%),Units,Undefined,,S92000003,0.963460258
2015,Progress towards sustainable forest management (Woodland growth rate),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,-1.027198963
2015,Progress towards sustainable forest management (Woodland growth rate),,Scotland,,Percentage (%),Units,Undefined,,S92000003,0.518502478
2016,Progress towards sustainable forest management (Woodland growth rate),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,-0.858678636
2016,Progress towards sustainable forest management (Woodland growth rate),,Scotland,,Percentage (%),Units,Undefined,,S92000003,0.235975267
2017,Progress towards sustainable forest management (Woodland growth rate),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,4.261411451
2017,Progress towards sustainable forest management (Woodland growth rate),,Scotland,,Percentage (%),Units,Undefined,,S92000003,0.183864916
2018,Progress towards sustainable forest management (Woodland growth rate),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,-0.885282463
2018,Progress towards sustainable forest management (Woodland growth rate),,Scotland,,Percentage (%),Units,Undefined,,S92000003,0.554677921
2019,Progress towards sustainable forest management (Woodland growth rate),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,3.639473249
2019,Progress towards sustainable forest management (Woodland growth rate),,Scotland,,Percentage (%),Units,Undefined,,S92000003,0.77561119
2005,Progress towards sustainable forest management (Woodland growth rate),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,-2.562960688
2005,Progress towards sustainable forest management (Woodland growth rate),,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,-0.862470862
2006,Progress towards sustainable forest management (Woodland growth rate),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,-0.031520386
2006,Progress towards sustainable forest management (Woodland growth rate),,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,0.68187162
2007,Progress towards sustainable forest management (Woodland growth rate),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,1.143643157
2007,Progress towards sustainable forest management (Woodland growth rate),,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,1.401214386
2008,Progress towards sustainable forest management (Woodland growth rate),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,0.440282974
2008,Progress towards sustainable forest management (Woodland growth rate),,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,0.59304468
2009,Progress towards sustainable forest management (Woodland growth rate),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,0.963092096
2009,Progress towards sustainable forest management (Woodland growth rate),,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,0.368610841
2010,Progress towards sustainable forest management (Woodland growth rate),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,-1.398719634
2010,Progress towards sustainable forest management (Woodland growth rate),,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,0.153974246
2011,Progress towards sustainable forest management (Woodland growth rate),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,-1.081847871
2011,Progress towards sustainable forest management (Woodland growth rate),,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,0.165125495
2012,Progress towards sustainable forest management (Woodland growth rate),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,1.731922371
2012,Progress towards sustainable forest management (Woodland growth rate),,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,19.6243619
2013,Progress towards sustainable forest management (Woodland growth rate),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,0.198932685
2013,Progress towards sustainable forest management (Woodland growth rate),,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,5.510463989
2014,Progress towards sustainable forest management (Woodland growth rate),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,0.241300176
2014,Progress towards sustainable forest management (Woodland growth rate),,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,0.402644664
2015,Progress towards sustainable forest management (Woodland growth rate),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,0.434923426
2015,Progress towards sustainable forest management (Woodland growth rate),,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,0.402824256
2016,Progress towards sustainable forest management (Woodland growth rate),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,0.215506519
2016,Progress towards sustainable forest management (Woodland growth rate),,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,0.156372864
2017,Progress towards sustainable forest management (Woodland growth rate),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,0.127977758
2017,Progress towards sustainable forest management (Woodland growth rate),,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,0.25961976
2018,Progress towards sustainable forest management (Woodland growth rate),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,-0.000168502
2018,Progress towards sustainable forest management (Woodland growth rate),,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,0.212675079
2019,Progress towards sustainable forest management (Woodland growth rate),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,0.256577778
2019,Progress towards sustainable forest management (Woodland growth rate),,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,0.344530577
2004,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Wales,Certified,,Units,Undefined,Percentage (%),W92000004,6.11
2005,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Wales,Certified,,Units,Undefined,Percentage (%),W92000004,6.33
2006,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Wales,Certified,,Units,Undefined,Percentage (%),W92000004,6.32
2007,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Wales,Certified,,Units,Undefined,Percentage (%),W92000004,6.39
2008,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Wales,Certified,,Units,Undefined,Percentage (%),W92000004,6.27
2009,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Wales,Certified,,Units,Undefined,Percentage (%),W92000004,6.45
2010,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Wales,Certified,,Units,Undefined,Percentage (%),W92000004,6.44
2011,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Wales,Certified,,Units,Undefined,Percentage (%),W92000004,6.44
2012,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Wales,Certified,,Units,Undefined,Percentage (%),W92000004,6.67
2013,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Wales,Certified,,Units,Undefined,Percentage (%),W92000004,6.72
2014,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Wales,Certified,,Units,Undefined,Percentage (%),W92000004,6.81
2015,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Wales,Certified,,Units,Undefined,Percentage (%),W92000004,6.82
2016,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Wales,Certified,,Units,Undefined,Percentage (%),W92000004,6.81
2017,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Wales,Certified,,Units,Undefined,Percentage (%),W92000004,7
2018,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Wales,Certified,,Units,Undefined,Percentage (%),W92000004,6.98
2004,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Scotland,Certified,,Units,Undefined,Percentage (%),S92000003,8.6
2005,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Scotland,Certified,,Units,Undefined,Percentage (%),S92000003,9.22
2006,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Scotland,Certified,,Units,Undefined,Percentage (%),S92000003,9.3
2007,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Scotland,Certified,,Units,Undefined,Percentage (%),S92000003,9.81
2008,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Scotland,Certified,,Units,Undefined,Percentage (%),S92000003,9.88
2009,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Scotland,Certified,,Units,Undefined,Percentage (%),S92000003,10.02
2010,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Scotland,Certified,,Units,Undefined,Percentage (%),S92000003,10.17
2011,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Scotland,Certified,,Units,Undefined,Percentage (%),S92000003,10.16
2012,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Scotland,Certified,,Units,Undefined,Percentage (%),S92000003,10.37
2013,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Scotland,Certified,,Units,Undefined,Percentage (%),S92000003,10.32
2014,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Scotland,Certified,,Units,Undefined,Percentage (%),S92000003,10.55
2015,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Scotland,Certified,,Units,Undefined,Percentage (%),S92000003,10.44
2016,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Scotland,Certified,,Units,Undefined,Percentage (%),S92000003,10.35
2017,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Scotland,Certified,,Units,Undefined,Percentage (%),S92000003,10.79
2018,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Scotland,Certified,,Units,Undefined,Percentage (%),S92000003,10.7
2004,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Northern Ireland,Certified,,Units,Undefined,Percentage (%),N92000002,4.79
2005,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Northern Ireland,Certified,,Units,Undefined,Percentage (%),N92000002,4.67
2006,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Northern Ireland,Certified,,Units,Undefined,Percentage (%),N92000002,4.67
2007,"Woodland area as a percentage of total land area, and woodland area certified as sustainably managed as a percentage of total land area",,Northern Ireland,Certified,,Units,Undefined,Percentage (%),N92000002,4.72
