Year,Units,Size of particulate matter,Local Authority,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2013,Particulate matter (PM),,City of London,Undefined,Units,microgram/m3,E09000001,15.02996603
2016,Particulate matter (PM),PM 10,City of London,Undefined,Units,microgram/m3,E09000001,23
2016,Particulate matter (PM),,City of London,Undefined,Units,microgram/m3,E09000001,12
2008,Particulate matter (PM),PM 10,Coventry,Undefined,Units,microgram/m3,E08000026,17.77180874
2016,Particulate matter (PM),PM 10,Coventry,Undefined,Units,microgram/m3,E08000026,15
2016,Particulate matter (PM),,Coventry,Undefined,Units,microgram/m3,E08000026,10
2008,Particulate matter (PM),PM 10,Derry,Undefined,Units,microgram/m3,,23.248
2011,Particulate matter (PM),PM 10,Derry,Undefined,Units,microgram/m3,,18.511
2015,Particulate matter (PM),PM 10,Didcot,Undefined,Units,microgram/m3,,15
2015,Particulate matter (PM),,Didcot,Undefined,Units,microgram/m3,,8
2013,Particulate matter (PM),PM 10,Eastbourne,Undefined,Units,microgram/m3,E07000061,21.4814948
2013,Particulate matter (PM),,Eastbourne,Undefined,Units,microgram/m3,E07000061,15.27506364
2014,Particulate matter (PM),PM 10,Eastbourne,Undefined,Units,microgram/m3,E07000061,19
2014,Particulate matter (PM),,Eastbourne,Undefined,Units,microgram/m3,E07000061,12
2016,Particulate matter (PM),PM 10,Eccles,Undefined,Units,microgram/m3,,15
2016,Particulate matter (PM),,Eccles,Undefined,Units,microgram/m3,,10
2016,Particulate matter (PM),PM 10,Erith,Undefined,Units,microgram/m3,,16
2016,Particulate matter (PM),,Erith,Undefined,Units,microgram/m3,,11
2013,Particulate matter (PM),PM 10,Gibraltar,Undefined,Units,microgram/m3,,31.13807947
2013,Particulate matter (PM),,Gibraltar,Undefined,Units,microgram/m3,,14.22181818
2016,Particulate matter (PM),PM 10,Gillingham,Undefined,Units,microgram/m3,,19
2016,Particulate matter (PM),,Gillingham,Undefined,Units,microgram/m3,,12
2008,Particulate matter (PM),PM 10,Glasgow City,Undefined,Units,microgram/m3,S12000046,24.453
2011,Particulate matter (PM),PM 10,Glasgow City,Undefined,Units,microgram/m3,S12000046,16.526
2013,Particulate matter (PM),PM 10,Glasgow City,Undefined,Units,microgram/m3,S12000046,22.93713748
2013,Particulate matter (PM),,Glasgow City,Undefined,Units,microgram/m3,S12000046,16.03820498
2016,Particulate matter (PM),PM 10,Glasgow City,Undefined,Units,microgram/m3,S12000046,12
2016,Particulate matter (PM),,Glasgow City,Undefined,Units,microgram/m3,S12000046,8
2013,Particulate matter (PM),,Grangemouth,Undefined,Units,microgram/m3,,9.16582496
2016,Particulate matter (PM),PM 10,Grangemouth,Undefined,Units,microgram/m3,,9
2016,Particulate matter (PM),,Grangemouth,Undefined,Units,microgram/m3,,6
2016,Particulate matter (PM),PM 10,Harlington,Undefined,Units,microgram/m3,,14
2016,Particulate matter (PM),,Harlington,Undefined,Units,microgram/m3,,10
2016,Particulate matter (PM),PM 10,Hull,Undefined,Units,microgram/m3,,16
2016,Particulate matter (PM),,Hull,Undefined,Units,microgram/m3,,11
2013,Particulate matter (PM),,Inverness,Undefined,Units,microgram/m3,,6.06134453
2016,Particulate matter (PM),PM 10,Inverness,Undefined,Units,microgram/m3,,9
2016,Particulate matter (PM),,Inverness,Undefined,Units,microgram/m3,,5
2008,Particulate matter (PM),PM 10,Kingston upon Hull,Undefined,Units,microgram/m3,E06000010,17.349
2011,Particulate matter (PM),PM 10,Kingston upon Hull,Undefined,Units,microgram/m3,E06000010,17.342
