Year,Category,Value
2004,B,375.3341743
2005,B,377.2070111
2006,B,379.1891642
2007,B,380.892244
2008,B,382.9738536
2009,B,384.5383611
2010,B,386.6494006
2011,B,388.8468757
2012,B,390.9957791
2013,B,393.7350417
2014,B,395.5030366
