Year,Value,Units,GeoCode,Observation status,Unit multiplier,Unit measure
2001,2971293.728,Hectares,,Undefined,Units,Hectares
2002,2985420.755,Hectares,,Undefined,Units,Hectares
2003,,Hectares,,Undefined,Units,Hectares
2004,3011039.797,Hectares,,Undefined,Units,Hectares
2005,3021343.728,Hectares,,Undefined,Units,Hectares
2006,3029698.595,Hectares,,Undefined,Units,Hectares
2007,3040799.397,Hectares,,Undefined,Units,Hectares
2008,3047972.183,Hectares,,Undefined,Units,Hectares
2009,3054145.2939999998,Hectares,,Undefined,Units,Hectares
2010,3059238.28,Hectares,,Undefined,Units,Hectares
2011,3067314.0,Hectares,,Undefined,Units,Hectares
2012,3110492.68,Hectares,,Undefined,Units,Hectares
2013,3125309.9480000003,Hectares,,Undefined,Units,Hectares
2014,3143462.6560000004,Hectares,,Undefined,Units,Hectares
2015,3154583.93,Hectares,,Undefined,Units,Hectares
2016,3158980.4839999997,Hectares,,Undefined,Units,Hectares
2017,3163875.889,Hectares,,Undefined,Units,Hectares
2018,3173620.39,Hectares,,Undefined,Units,Hectares
2019,3187167.381,Hectares,,Undefined,Units,Hectares
2005,0.342205052,Growth rate (%),,Undefined,Units,Percentage (%)
2006,0.276528216,Growth rate (%),,Undefined,Units,Percentage (%)
2007,0.36639953399999997,Growth rate (%),,Undefined,Units,Percentage (%)
2008,0.235884875,Growth rate (%),,Undefined,Units,Percentage (%)
2009,0.20253175399999998,Growth rate (%),,Undefined,Units,Percentage (%)
2010,0.166756495,Growth rate (%),,Undefined,Units,Percentage (%)
2011,0.26397813,Growth rate (%),,Undefined,Units,Percentage (%)
2012,1.407703287,Growth rate (%),,Undefined,Units,Percentage (%)
2013,0.476364014,Growth rate (%),,Undefined,Units,Percentage (%)
2014,0.58082906,Growth rate (%),,Undefined,Units,Percentage (%)
2015,0.353790551,Growth rate (%),,Undefined,Units,Percentage (%)
2016,0.139370338,Growth rate (%),,Undefined,Units,Percentage (%)
2017,0.154967864,Growth rate (%),,Undefined,Units,Percentage (%)
2018,0.307992521,Growth rate (%),,Undefined,Units,Percentage (%)
2019,0.426862377,Growth rate (%),,Undefined,Units,Percentage (%)
